filename,folder,source,notes
m2moko-profile-logo.webp,logo,Instagram profile,Current circular M2MOKO profile mark
hero-blue-set.webp,image,Instagram,Editorial model image; suitable homepage candidate
hero-sailboat-look.webp,image,Instagram,Editorial lifestyle image; suitable homepage candidate
blue-relaxed-set.webp,shopping,Instagram,Blue coordinated look
olive-relaxed-set.webp,shopping,Instagram,Olive coordinated look
cream-relaxed-set.webp,shopping,Instagram,Cream coordinated look
mustard-relaxed-set.webp,shopping,Instagram,Mustard coordinated look
cream-piano-look.webp,shopping,Instagram,Cream/pale peach look
peach-sailboat-look.webp,shopping,Instagram,Peach editorial look
striped-relaxed-set.webp,shopping,Instagram,Striped coordinated look
white-tailored-set.webp,shopping,Instagram,White tailored look
tan-short-sleeve-set.webp,shopping,Instagram,Tan short-sleeve coordinated look
pink-short-sleeve-look.webp,shopping,Instagram,Pale pink short-sleeve look
white-editorial-look.webp,shopping,Instagram,White flowing editorial look
mustard-market-look.webp,shopping,Instagram,Mustard street-style look
